time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-04T07:23:30.600Z,18.8288333333333,-155.152666666667,7.09,3.29,ml,48,269,,0.15,hv,hv72972882,2022-06-11T20:21:02.040Z,"52 km ESE of Naalehu, Hawaii",earthquake,0.51,0.36,0.153241357471734,41,reviewed,hv,hv
2022-04-04T06:49:07.980Z,18.7935,-155.253,6.59,2.77,ml,50,271,,0.18,hv,hv72972872,2022-06-11T20:21:02.040Z,"45 km SE of Naalehu, Hawaii",earthquake,0.43,0.38,0.170199953181663,10,reviewed,hv,hv
2022-04-04T06:22:44.590Z,18.759,-155.259166666667,6.87,2.76,md,49,276,,0.2,hv,hv72972862,2022-06-11T20:21:02.040Z,"48 km SE of Naalehu, Hawaii",earthquake,0.5,0.49,0.125761102310258,19,reviewed,hv,hv
2022-04-04T05:00:57.500Z,18.748,-155.234833333333,6.24,2.83,md,44,278,,0.14,hv,hv72972837,2022-06-11T20:21:02.040Z,"50 km SE of Naalehu, Hawaii",earthquake,0.45,0.42,0.143588514570972,18,reviewed,hv,hv
2022-04-03T21:35:56.350Z,18.7393333333333,-155.2595,7.13,2.7,ml,46,278,,0.18,hv,hv72972422,2022-06-11T20:21:01.040Z,"49 km SE of Naalehu, Hawaii",earthquake,0.56,0.54,0.108309468245735,11,reviewed,hv,hv
2022-04-03T20:50:23.230Z,18.7893333333333,-155.193,7.12,2.5,md,42,272,,0.22,hv,hv72972377,2022-06-11T20:21:01.040Z,"51 km SE of Naalehu, Hawaii",earthquake,0.64,0.53,0.202501496822753,18,reviewed,hv,hv
2022-04-03T18:55:23.260Z,18.8815,-155.218666666667,11,2.83,md,37,277,,0.16,hv,hv72972302,2022-06-11T20:21:01.040Z,"Hawaii region, Hawaii",earthquake,0.56,0.45,0.0781645631355952,13,reviewed,hv,hv
2022-04-03T10:09:51.870Z,18.857,-155.221166666667,8.9,2.51,ml,44,262,,0.16,hv,hv72972037,2022-06-11T20:21:00.040Z,"44 km ESE of Naalehu, Hawaii",earthquake,0.43,0.36,0.141027049821204,7,reviewed,hv,hv
2022-02-20T07:33:32.340Z,19.0225,-155.3225,2.42,3.23,ml,49,254,,0.21,hv,hv72923157,2022-05-04T13:38:49.040Z,"25 km SE of P?hala, Hawaii",earthquake,1.35,1.42,0.153120013966949,36,reviewed,hv,hv
2022-02-20T07:23:00.520Z,19.0286666666667,-155.322833333333,5.89,3.29,ml,50,254,,0.18,hv,hv72923152,2022-05-04T13:38:49.040Z,"25 km SE of P?hala, Hawaii",earthquake,0.42,0.68,0.165237358245257,36,reviewed,hv,hv
2022-02-16T14:05:15.640Z,18.86,-155.2175,9.82,2.8,ml,35,261,,0.13,hv,hv72919312,2022-04-30T14:18:19.040Z,"44 km ESE of Naalehu, Hawaii",earthquake,0.85,0.6,0.173581292214023,32,reviewed,hv,hv
